tweet,label,clean_text
Mau ajak nyokap alesannya krn di Starbucks ga ada boba yg bisa bikin usus buntu stad #SbuxCupsOfCourage,hoax,mau ajak nyokap alesannya krn starbucks ga boba bikin usus buntu stad
Sabtu minum boba Senin oprasi usus buntu Ngeri anjim,hoax,sabtu minum boba senin oprasi usus buntu ngeri anjim
Bahaya loh itu boba kebanyakan bikin usus buntu,hoax,bahaya loh boba banyak bikin usus buntu
"Jgn sering sering ya bi, boba bikin usus buntu hmm",hoax,jgn sering sering bi boba bikin usus buntu hmm
"Boba bikin diabetes,bikin usus buntu taukk",hoax,boba bikin diabetesbikin usus buntu taukk
Pagi pagi dah minum boba usus buntu ntar,hoax,pagi pagi dah minum boba usus buntu ntar
"Gw sering banget sih jajan begituan, kecuali boba jarang dan emang lama lama kerasa sih efek nya, ampe timbul sariawan 3 biji, trs perut bawah sebelah kanan mulai agak sakit gt jadi parno takut usus buntu baru sadar kalo emg makanan kek gitu berpengaruh bgt",hoax,gw sering banget sih jajan begitu boba jarang emang lama lama rasa sih efek nya ampe timbul sariawan biji trs perut bawah belah kanan mulai sakit gt jadi parno takut usus buntu baru sadar kalo emg makan kek gitu pengaruh bgt
Mungkin bisa di share ke group ortu *Bocah Ini Kena Gangguan Jiwa* *karena Terlalu Banyak Ikut Les* Kisah yang sungguh membuat hati miris ini datang dari sebuah akun Facebook... http://cerminan.com/berita/bocah-ini-kena-gangguan-jiwa-karena-terlalu-banyak-ikut-les.html,hoax,mungkin share group ortu bocah kena ganggu jiwa terlalu banyak ikut les kisah sungguh buat hati miris datang buah akun facebook
WARNING!!! PARA ORANGTUA / WALI MURID Bocah Ini Kena Gangguan Jiwa karena Terlalu Banyak Ikut Les Kisah yang sungguh membuat hati miris ini datang dari sebuah akun Facebook bernama Andi Teposs. Tertanggal 18... https://facebook.com/416465598440680/posts/2017483248338899/,hoax,warning orangtua wali murid bocah kena ganggu jiwa terlalu banyak ikut les kisah sungguh buat hati miris datang buah akun facebook nama andi teposs tanggal
Anak yang Les Terlalu Banyak Bisa Terkena Gangguan Jiwa http://katakota.com/anak-yang-les-terlalu-banyak-bisa-terkena-gangguan-jiwa/…,hoax,anak les terlalu banyak kena ganggu jiwa
Anak yang les terlalu banyak bisa terkena gangguan jiwa http://dewaporkas.net/anak-yang-les-terlalu-banyak-bisa-terkena-gangguan-jiwa/,hoax,anak les terlalu banyak kena ganggu jiwa
Terlalu Banyak Les Bikin Anak Didera Gangguan Jiwa? http://artikelmajalah.com/terlalu-banyak-les-bikin-anak-didera-gangguan-jiwa/…,hoax,terlalu banyak les bikin anak dera ganggu jiwa
"Miris : Bocah Kena Gangguan Jiwa karena Terlalu Banyak Ikut Les, Ditanya Apapun Jawabnya Angka-angka | BERITA... http://fb.me/6cws9ffKo",hoax,miris bocah kena ganggu jiwa terlalu banyak ikut les tanya apa jawab angkaangka berita
"#Populer KISAH MENYEDIHKAN ANAK YANG TERLALU BANYAK IKUT LES, KINI KENA GANGGUAN JIWA Kisah yang sungguh membuat... http://fb.me/4QniwtSid",hoax,kisah sedih anak terlalu banyak ikut les kini kena ganggu jiwa kisah sungguh buat
"Akibat Terlalu Sering Main Game di HP Lihat Apa Yang Terjadi Pada Mata Anak Ini di Menit 01.03 # Jangan Lupa LIKE, COMMENT, SHARE dan SUBSCRIBE Ya Wajah tersenyum dengan mata tersenyumhttps://youtube.com/watch?v=p0JxdAMPjEo&feature=share",?,akibat terlalu sering main game hp lihat apa jadi mata anak menit jangan lupa like comment share subscribe wajah senyum mata senyum
Pesan Berantai Akibat Sering Main HP Menyebabkan Pembuluh Darah Mata Pecah Bikin… https://goo.gl/fb/wBo3qt #ugetuget,hoax,pesan beranta akibat sering main hp sebab buluh darah mata pecah bikin
"Viral Kisah Pendarahan Mata Remaja, Benarkah Akibat Terlalu Sering Main HP? Begini Kata Dokter",?,viral kisah darah mata remaja benar akibat terlalu sering main hp begini kata dokter
"Yayayyaayyaa pk juga kacamata akibat sering ntn TV gelap sama main hp , jd pk kaca mata baca dehh biar… http://instagram.com/p/if9ytkimhD/",hoax,yayayyaayyaa pk kacamata akibat sering ntn tv gelap sama main hp jd pk kaca mata baca dehh biar
"nih nih Akibat Sering Menonton Youtube, Balita Ini Kena Sindrom Juling, Curhatan... http://youtu.be/XdJTNcCeiX8 via youtube",hoax,nih nih akibat sering tonton youtube balita kena sindrom juling curhatan via youtube
Viral Eyelash Extension disebut bikin pembuluh darah mata pecah saat tidur - https://tempoyak.net/?p=8299,hoax,viral eyelash extension sebut bikin buluh darah mata pecah tidur
Dokter Mata Jelaskan Kebenaran di Balik Pesan Berantai 'Pembuluh Mata Pecah akibat Sering Main HP',valid,dokter mata jelas benar balik pesan beranta buluh mata pecah akibat sering main hp
Tapi setidaknya dana haji itu jgn dipakai buat pembangunan. Pembangunan kan bisa di tunda sedangkan orang yg seharusnya berangkat dia udah setor harusnya bisa berangkat tahun2 kemarin ternyata sekarang tidak.,hoax,dana haji jgn pakai buat bangun bangun kan tunda orang berangkat udah setor harus berangkat tahun kemarin nyata sekarang
Pak wapres kan setuju jika dana haji di gunakan pemerintah untuk pembangunan,hoax,pak wapres kan tuju dana haji guna perintah bangun
"Hayoo ngaku siapa yang tanda tangan Dana Haji bisa dipakai untuk infraskruktur ? Sudah rame, pada sembunyi deh Kebiasaan lempar batu, sembunyi tangan ",hoax,hayoo ngaku siapa tanda tangan dana haji pakai infraskruktur rame sembunyi deh biasa lempar batu sembunyi tangan
"Akun hastag #NKRI, hastag #pancasila dan sejenisnya menyerang semua pihak yg kumpulkan sumbangan masyarakat utk Palestina tapi diam ttg penggunaan dana haji. Makin hari makin jelas siapa mereka.",hoax,akun hastag hastag jenis serang semua pihak kumpul sumbang masyarakat utk palestina diam ttg guna dana haji makin hari makin jelas siapa
Soal dana haji ... jauh2 hari pemerintah terang2an kok mau gunakan untuk infrastruktur. Sampeyan bisa memastikan aman darimana sumbernya?? Sudah ada yg mengaudit dana tsb ?? Ngoyo2 wae …,hoax,soal dana haji jauh hari perintah terang kok mau guna infrastruktur sampeyan pasti aman darimana sumber audit dana tsb ngoyo wae 
"HAJI, KEGAGALAN YANG FATAL https://portal-islam.id/2021/06/haji-kegagalan-yang-fatal.html…",hoax,haji gagal fatal
Sama halnya Publik curiga dana haji amblas Pemerintah memastikan dana Haji Aman Harusnya dana Haji setelah 2 tahun tak di gunakan bisa bertambah dong ?,hoax,sama hal publik curiga dana haji amblas perintah pasti dana haji aman harus dana haji tahun tak guna tambah dong
"Tepat sekali byk pelajaran besar pemimpin Dunia di Azab, seperti; Fir'aun, Mustafa Kemal Attartuk, Ariel Sharon. Mendzholimi rakyat & agama, matipun tragis. Masih byk lagi contoh di Dunia ini.",hoax,tepat sekali byk ajar besar pimpin dunia azab firaun mustafa kemal attartuk ariel sharon mendzholimi rakyat agama mati tragis byk contoh dunia
Semoga segera terjerumus dalam azab dunia.....aamiinnn.... Semoga berakhir seperti Mustafa Kemal di Turki.....aamiinn....,hoax,moga segera jerumus azab duniaaamiinnn moga akhir mustafa kemal turkiaamiinn
Cukuplah Mustafa Kemal yg kena Azab Allah... Kamu Mau??,hoax,cukup mustafa kemal kena azab allah kamu mau
"Padahal Mustafa Kemal laknatullah adalah musuh terbesar umat Islam, karena dialah <semoga azab terus ditimpakan... http://fb.me/8mi39pRZ6",hoax,padahal mustafa kemal laknatullah musuh besar umat islam dia moga azab terus timpa
"Kesimpulannya , bahwa munculnya keyakinan di masyarakat muslim Turki bahwa Mustafa Kemal mati terkena azab adalah bentuk penalaran yang didasari oleh akal sehat dan keimanan kepada yang ghaib",hoax,simpul muncul yakin masyarakat muslim turki mustafa kemal mati kena azab bentuk nalar dasar akal sehat iman ghaib
Masih ingat kah kalian dengan Mustafa Kemal Ataturk ?? Jasad beliau tidak di terima di Bumi . .. Itulah Azab Allah SWT untuk beliau !!,hoax,ingat kalian mustafa kemal ataturk jasad beliau terima bumi azab allah swt beliau
"AZAB DI DUNIA.. Sewaktu Mustafa Kemal Ataturk meninggal dunia, tidak seorang pun yang memandikan, ... http://azlinda2.tumblr.com/post/143082471837",hoax,azab dunia waktu mustafa kemal ataturk tinggal dunia orang mandi
Kambing Di Filipina Melahirkan Mahluk Berbentuk Setengah Babi Setengah Manusia < https://kaskus.co.id/thread/5bf528ab9252332d638b4567/lagi-heboh-gan-kambing-di-filipina-melahirkan-mahluk-setengah-babi-setengah-manusia,hoax,kambing filipina lahir mahluk bentuk tengah babi tengah manusia
"Geger, Induk Kambing Melahirkan Makhluk Setengah Babi Setengah Manusia http://dlvr.it/QsB46t",hoax,geger induk kambing lahir makhluk tengah babi tengah manusia
"Kambing Melahirkan Bayi Campuran Babi Dengan Manusia, Warga Percaya Makhluk Itu Setan Membawa Kesialan https://benankmerah.co/news/kambing-melahirkan-bayi-campuran-babi-dengan-manusia-warga-percaya-makhluk-itu-setan-membawa-kesialan/…",hoax,kambing lahir bayi campur babi manusia warga percaya makhluk setan bawa sial
"Seekor kambing di Filipina melahirkan anak ""setengah babi setengah manusia"". #MNCTVNews #InfoMNCTVNews",hoax,ekor kambing filipina lahir anak tengah babi tengah manusia
"VIDEO: Aneh, Kambing Melahirkan Mahluk Setengah Babi http://dlvr.it/QrpkyL",hoax,video aneh kambing lahir mahluk tengah babi
piglet itu babi apa kelinci? apa blasteran babi sama kelinci? — Kambing melahirkan anak babi. http://l.ask.fm/igoto/45DKECN75V62DDAUPY6IQO7X5WACLJA7QP6O3DN4D6S2J7FI2AT5A6KOFVGMCQZUKW37QHQEIBRH6FIN5U36Y3N7NLRP5BJDXAAQDBCPIR3SEK6PA6MD4JHXTT5O5VDVTCUYAVIDZXKE3F4EICDQURLE72IHT74O23OURUDLTKWI2I47GRDX5XPV2BALT47GRM7YYSYZ,?,piglet babi apa kelinci apa blaster babi sama kelinci  kambing lahir anak babi
Induk Kambing Melahirkan Makhluk Setengah Babi Setengah Manusia https://maingame88.com/duniacerpen/2021/01/06/induk-kambing-melahirkan-makhluk-setengah-babi-setengah-manusia/… ,hoax,induk kambing lahir makhluk tengah babi tengah manusia
"Cari aja di gugel ""stan ditutup karena radikalisme"" nanti banyak ketemu beritanya gais ",hoax,cari aja gugel stan tutup radikalisme banyak ketemu berita gais
[cm] kenapa ini guysss??,hoax,cm guysss
"STAN DITUTUP, KARENA MAHASISWA NYA RAJIN BERIBADAH DICAP RADIKALISME",hoax,stan tutup mahasiswa nya rajin ibadah cap radikalisme
"Jika STAN Ditutup Karena Radikalisme, Sudirman Said: Bakal Jadi Skandal Bernegara",hoax,stan tutup radikalisme sudirman said bakal jadi skandal negara
stan ditutup karena radikalisme,hoax,stan tutup radikalisme
Isu STAN Ditutup Karena Radikalisme Menyebar Dimedsos https://editor.id/isu-stan-ditutup-karena-radikalisme-menyebar-di-medsos/,hoax,isu stan tutup radikalisme sebar dimedsos
"PKN STAN Ditutup Hanya karena Isu Radikalisme, Sudirman Said: Ini Skandal Bernegara https://suaraislam.id/pkn-stan-ditutup-hanya-karena-isu-radikalisme-sudirman-said-ini-skandal-bernegara/… lewat ",hoax,pkn stan tutup isu radikalisme sudirman said skandal negara lewat
KB Suntik Sebabkan Gemuk?: KB suntik biasanya dilakukan 3 bulan sekali. Fungsi KB 3 bulanan memang bisa membuat ... http://bit.ly/PdcNcX,hoax,kb suntik sebab gemuk kb suntik biasa laku bulan sekali fungsi kb bulan memang buat
"mau tnya, apa KB suntik per 3bln itu bs sebabkan berat badan naik? Atau cuma mitos aja? Tq",?,mau tnya apa kb suntik per bln bs sebab berat badan naik cuma mitos aja tq
KB Pil dan Suntik Sebabkan Kanker: Badan Kependudukan dan Keluarga Berencana Nasional (BKKBN) saat ini mengawa... http://bit.ly/13SKXwi,hoax,kb pil suntik sebab kanker badan duduk keluarga rencana nasional bkkbn awa
KB Pil dan Suntik Sebabkan Kanker http://bit.ly/13EMya3,hoax,kb pil suntik sebab kanker
"Pil KB Bisa Sebabkan Kebutaan? http://bit.ly/1fh7J6m""kalau suntik kb?",hoax,pil kb sebab buta suntik kb
"#FitInfo, meski efektif untuk mencegah kehamilan, KB Suntik beresiko sebabkan penipisan tulang, Apalagi jika pemakaiannya lebih dari 2 tahun. jika anda memakai KB jenis ini, konsumsilah makanan yang mengandung vitamin D serta suplemen kalsium untuk menjaga tulang. #stayfit #Senin",hoax,meski efektif cegah hamil kb suntik resiko sebab nipis tulang pakai lebih tahun pakai kb jenis konsumsi makan kandung vitamin d suplemen kalsium jaga tulang
"Waspada, Suntik KB Bisa Sebabkan Kanker https://goo.gl/fb/sWybki #Magelang",hoax,waspada suntik kb sebab kanker
"Pak Prabowo sedang sakit. Kabar tentang penyakitnya juga simpang siur. Dari flu hingga stroke ringan setelah debat Capres ke 4. Apapun, mari kita doakan kesembuhan pak Prabowo. Semoga lekas sembuh pak. #PrabowoSakit",hoax,pak prabowo sedang sakit kabar sakit simpang siur flu hingga stroke ringan debat capres apa doa sembuh pak prabowo moga lekas sembuh pak
"Salfok sama wajah pak prabowo, seperti miring ya, kayanya stroke ringan,, tetanggaku seperti itu,,tp mudah2an sehat trus",hoax,salfok sama wajah pak prabowo miring kaya stroke ringan tetangga itutp mudah sehat trus
DOKTER TERAWAN JUGA PERNAH MENTERAPI STROKE RINGAN PRABOWO SUBIANTO.,hoax,dokter awan pernah terapi stroke ringan prabowo subianto
"Prabowo Alami Stroke Ringan, Bisa Dilihat Dari Bentuk Bibirnya. Trus Gimana Dong?: http://youtu.be/t0GcOJ3ot0U?a ",hoax,prabowo alami stroke ringan lihat bentuk bibir trus gimana dong
"Memang berbahayaaaaa, makanya jangan dipilih jadi presiden.. Kalo tidak salah kesehatan pernah dicek, Prabowo pernah kena stroke ringan.. Mungkin akibat emosi yg tdk stabil..",hoax,memang berbahayaaaaa makanya jangan pilih jadi presiden kalo salah sehat pernah cek prabowo pernah kena stroke ringan mungkin akibat emosi tdk stabil
Selain sdh sepuh mungkin blio pernah menderita stroke ringan GWS pak,hoax,sdh sepuh mungkin blio pernah derita stroke ringan gws pak
Pak prabowo sprti beda. Sprti pernah terkena stroke ringan kya nya. Saat ngomong terlihat bnget mulut beliau tdk simetris.,hoax,pak prabowo sprti beda sprti pernah kena stroke ringan kya nya ngomong lihat bnget mulut beliau tdk simetris
Warga negara Timor Leste dikabarkan ingin bergabung lagi dengan dengan Indonesia bila diberi kesempatan kedua.,hoax,warga negara timor leste kabar gabung indonesia bila beri sempat dua
"""Timor Leste mau bergabung lagi dengan Indonesia"". Berdusta atau memuja, bagi penulisnya sama saja. https://indonesiana.tempo.co/read/59531/2016/01/28/maskusdiono/timor-leste-ingin-gabung-ri-karena-jokowi…",hoax,timor leste mau gabung indonesia dusta puja tulis sama
Timor Leste Disebut Ingin Kembali Bergabung Dengan Indonesia https://familinia.com/timor-leste-disebut-ingin-kembali-bergabung-dengan-indonesia/,hoax,timor leste sebut gabung indonesia
"Nahhh... lohhh Dulu Ngotot Pisah, Kini Warga Timor Leste Ingin Kembali Bergabung dengan Indonesia, Ini Alasannya",hoax,nahhh lohhh dulu ngotot pisah kini warga timor leste gabung indonesia alas
Xanana Ingin Timor Leste Bergabung Lagi Dengan Indonesia: http://youtu.be/e8tq1UoBhPY?a ,hoax,xanana timor leste gabung indonesia
WOW!! Timor Leste Ingin Bergabung Kembali dengan Indonesia By : Indonesia JAKARTA - Setelah Timor Leste keluar... http://fb.me/1CjCD1CWR,hoax,wow timor leste gabung indonesia by indonesia jakarta timor leste keluar
"""Timor Leste harus bergabung dengan Indonesia. Kami butuh pemimpin baru,"" ujar Xanana di Surabaya. Xanana sudah... http://fb.me/1qwmBLpjL",hoax,timor leste gabung indonesia butuh pimpin baru ujar xanana surabaya xanana
"Ada apa dengan negara ku Wajah menangis, antigen bekas, vaksin palsu, suntikan vaksin kosong saat vaksin , dimana hati kalian weiiii",hoax,apa negara ku wajah menang antigen bekas vaksin palsu sunti vaksin kosong vaksin hati kalian weiiii
Pantasan banyak lansia yg disuntik tanpa obat vaksin di video alias hanya jarum suntikan yg ditusukan.tapi kosong. Ky ini yg dijual.pantas banyak org curiga.ternyata bener.,hoax,pantas banyak lansia suntik obat vaksin video alias jarum sunti ditusukantapi kosong ky dijualpantas banyak org curigaternyata bener
Mana vaksin nya kayak suntikan kosong gitu,hoax,mana vaksin nya kayak sunti kosong gitu
"Relawan Vaksin Sinovac Positif COVID-19, Tim Riset Duga Suntikan Obat Kosong",hoax,rawan vaksin sinovac positif covid tim riset duga sunti obat kosong
"Relawan Vaksin Sinovac Positif COVID-19, Tim Riset Duga Suntikan Obat Kosong | Berita7",hoax,rawan vaksin sinovac positif covid tim riset duga sunti obat kosong berita
"Ujian klinikal vaksin mendapati, di kalangan mereka yg diberi suntikan vaksin, hanya 8 individu dijangkiti COVID-19 selepas 7 hari tamat dos kedua, berbanding seramai 162 di kalangan mereka diberi suntikan kosong/ placebo. Bermakna vaksin ini berkesan mencegah jangkitan.",?,uji klinikal vaksin dapat kalang beri sunti vaksin individu jangkit covid lepas hari tamat dos dua banding serama kalang beri sunti kosong placebo makna vaksin kesan cegah jangkit
Beginilah klo Tukang Ngurus Ojek di jadikan Mendikbud Dulu di mana Nadiem Sekolahnya berapa Nilai Mata Pelajaran Sejarah nya Makanya kenapa bidang studi PSPB di HAPUS Jadi Buta Sejarah #ReshuffleNadiemMakarim,hoax,begini klo tukang ngurus ojek jadi mendikbud dulu mana nadiem sekolah berapa nilai mata ajar sejarah nya makanya bidang studi pspb hapus jadi buta sejarah
PDIP Kecam Rencana Mendikbud Nadiem Mau Hapus Mata Pelajaran Sejarah,hoax,pdip kecam rencana mendikbud nadiem mau hapus mata ajar sejarah
"Agak krik aja pas tahu mendikbud mau hapus kurikulum sejarah, hadeeeh. Ya meski memang pelajaran itu dibawakan secara monoton saat SMP dan SMA. Sejarah pentingloh meski siswa anak IPA. Wawasan kebangsaan dan dunia kan dari ilmu sosial itu meski anak IPA gak mungkin ujung2 PKn.",hoax,krik aja pas tahu mendikbud mau hapus kurikulum sejarah hadeeeh meski memang ajar bawa monoton smp sma sejarah pentingloh meski siswa anak ipa wawas bangsa dunia kan ilmu sosial meski anak ipa gak mungkin ujung pkn
"Kata Bung Karno: Bangsa besar adalah bangsa yang menghargai jasa para pahlawannya. Mendikbud : Hapus mata pelajaran sejarah dari kurikulum pendidikan. Lha, bagaimana bisa mengenal dan menghargai pahlawan tanpa belajar sejarah?",hoax,kata bung karno bangsa besar bangsa harga jasa pahlawan mendikbud hapus mata ajar sejarah kurikulum didik lha bagaimana kenal harga pahlawan ajar sejarah
"Ga tau apa kerjanya. Awal2 gelar akademik ga dia anggap, skarang mo hapus pelajaran sejarah.. Baiknya org ini jadi Kang Ojol aja lagi !! ______________ Pelajaran Sejarah Bakal Dihapus, Wakil Ketua MPR: Mendikbud Buta Sejarah! https://news.demokrasi.co.id/pelajaran-sejarah-bakal-dihapus-wakil-ketua-mpr-mendikbud-buta-sejarah/?amp&__twitter_impression=true… https://m.bernas.id/71310-mendikbud-sebut-gelar-kelulusan-tidak-menjamin-kompetensi-pakar--nadiem-jangan-sembarangan-keluarkan-pernyataan.html",hoax,ga tau apa kerja awal gelar akademik ga anggap skarang mo hapus ajar sejarah baik org jadi kang ojol aja ajar sejarah bakal hapus wakil ketua mpr mendikbud buta sejarah
Mendikbud Wacanakan Hapus Pelajaran Sejarah,hoax,mendikbud wacana hapus ajar sejarah
"Terkejut, Mendikbud Nadiem Bantah Rencana Hapus Pelajaran Sejarah Mendikbud Nadi",hoax,kejut mendikbud nadiem bantah rencana hapus ajar sejarah mendikbud nadi
"PHK besar-besaran BCA segera terjadi, Teller dan CS akan dihilangkan. seluruh indonesia.",hoax,phk besarbesaran bca segera jadi teller cs hilang seluruh indonesia
"Tanda2 hegemoni RIBA akan segera hancur..? Kemarin Bukopin gagal bayar deposito nasabah, Blm lama BCA pun demikian, Berlanjut berita hari ini pun ga kalah ngeri..Wajah ketakutan PHK besar-besaran BCA segera terjadi, Teller & CS akan dihilangkan seluruh indonesia.",hoax,tanda hegemoni riba segera hancur kemarin bukopin gagal bayar deposito nasabah blm lama bca lanjut berita hari ga kalah ngeriwajah takut phk besarbesaran bca segera jadi teller cs hilang seluruh indonesia
Kabar yang menyebut BCA akan melakukan PHK besar-besaran beredar di media sosial Twitter pada Jumat (3/7). #viral,hoax,kabar sebut bca laku phk besarbesaran edar media sosial twitter jumat
"Pandemic Global telah mempercepat Tsunama Disrupsi yang seharusnya datang 3-5 tahun lagi Oleh karena itu, makin banyak orang tidak siap. PHK besar-besaran BCA segera terjadi, Teller dan CS akan dihilangkan. Peluang rekrut CS dan…https://lnkd.in/g7U6kPH",hoax,pandemic global cepat tsunama disrupsi datang tahun makin banyak orang siap phk besarbesaran bca segera jadi teller cs hilang peluang rekrut cs dan
BCA diterpa kabar tidak sedap. Bank papan atas Indonesia itu disebut akan melakukan PHK besar-besaran. #Bisnis #BCA ,hoax,bca terpa kabar sedap bank papan atas indonesia sebut laku phk besarbesaran
"PHK besar-besaran BCA segera terjadi, Teller dan CS akan dihilangkan. Peluang rekrut CS dan Teller BCA seluruh indonesia. https://inews.id/finance/bisnis/bca-prediksi-kantor-cabang-tetap-ada-teller-hingga-cs-akan-hilang… Dampak Digitalisasi sejalan dg Rev. Industri 4.0.",hoax,phk besarbesaran bca segera jadi teller cs hilang peluang rekrut cs teller bca seluruh indonesia dampak digitalisasi jalan dg rev industri
Beberapa kasus pesepeda meninggal kehabisan nafas karena menggunakan masker telah diketahui banyak orang,hoax,beberapa kasus sepeda tinggal habis nafas guna masker tahu banyak orang
Info di WAG Meninggal karena kurang oksigen... Menggunakan masker pada saat bersepeda Mohon info nya Resiko bersepeda dengan masker,hoax,info wag tinggal kurang oksigen guna masker sepeda mohon info nya resiko sepeda masker
Kembali lagi dikabarkan seorang pesepeda meninggal karena menggunakan masker. Seorang lelaki berasal dari Bekasi dikabarkan meninggal dunia akibat kekurangan oksigen karena mengenakan masker saat berkeliling menggunakan sepedanya.,hoax,kabar orang sepeda tinggal guna masker orang lelaki asal bekas kabar tinggal dunia akibat kurang oksigen kena masker keliling guna sepeda
"Beberapa hari ini sudah ada beberapa kasus orang meninggal dunia karena berolahraga menggunakan masker, khususnya bersepeda yang sekarang ini banyak di gemari oleh masyarakat.",hoax,beberapa hari beberapa kasus orang tinggal dunia olahraga guna masker khusus sepeda sekarang banyak gemar masyarakat
3 anak SMP meninggal waktu pelajaran olahraga karena mrk berolahraga keras dengan tetap menggunakan masker! Kejadian ini membuat sekolah2 membuat aturan baru: JANGAN MEMAKAI MASKER WAKTU OLAHRAGA.,hoax,anak smp tinggal waktu ajar olahraga mrk olahraga keras tetap guna masker jadi buat sekolah buat atur baru jangan pakai masker waktu olahraga
"Ada yang meninggal di saat olahraga dan menggunakan masker, karena kekurangan oksisgen....gue harap petugas PSBB nya diberi pendidikan yang benar dalam menerapkan PSBB terutama di saat orang sedang sendirian...jangan terkesan sewenang-wenang dan menimbulkan Antipati Masyarakat",hoax,tinggal olahraga guna masker kurang oksisgengue harap tugas psbb nya beri didik benar terap psbb utama orang sedang sendirianjangan kes sewenangwenang timbul antipati masyarakat
